diagnosis_name,section_name,chapter_name,xref_type,text,refers_to
A00,A00-A09,1,DESC,Cholera,
A00.0,A00-A09,1,DESC,"Cholera due to Vibrio cholerae 01, biovar cholerae",
A00.1,A00-A09,1,DESC,"Cholera due to Vibrio cholerae 01, biovar eltor",
A00.9,A00-A09,1,DESC,"Cholera, unspecified",
A01,A00-A09,1,DESC,Typhoid and paratyphoid fevers,
A01.0,A00-A09,1,DESC,Typhoid fever,
A01.00,A00-A09,1,DESC,"Typhoid fever, unspecified",
A01.01,A00-A09,1,DESC,Typhoid meningitis,
A01.02,A00-A09,1,DESC,Typhoid fever with heart involvement,
A01.03,A00-A09,1,DESC,Typhoid pneumonia,
A01.04,A00-A09,1,DESC,Typhoid arthritis,
A01.05,A00-A09,1,DESC,Typhoid osteomyelitis,
A01.09,A00-A09,1,DESC,Typhoid fever with other complications,
A01.1,A00-A09,1,DESC,Paratyphoid fever A,
A01.2,A00-A09,1,DESC,Paratyphoid fever B,
A01.3,A00-A09,1,DESC,Paratyphoid fever C,
A01.4,A00-A09,1,DESC,"Paratyphoid fever, unspecified",
A02,A00-A09,1,DESC,Other salmonella infections,
A02.0,A00-A09,1,DESC,Salmonella enteritis,
A02.1,A00-A09,1,DESC,Salmonella sepsis,
A02.2,A00-A09,1,DESC,Localized salmonella infections,
A02.20,A00-A09,1,DESC,"Localized salmonella infection, unspecified",
A02.21,A00-A09,1,DESC,Salmonella meningitis,
A02.22,A00-A09,1,DESC,Salmonella pneumonia,
A02.23,A00-A09,1,DESC,Salmonella arthritis,
A02.24,A00-A09,1,DESC,Salmonella osteomyelitis,
A02.25,A00-A09,1,DESC,Salmonella pyelonephritis,
A02.29,A00-A09,1,DESC,Salmonella with other localized infection,
A02.8,A00-A09,1,DESC,Other specified salmonella infections,
A02.9,A00-A09,1,DESC,"Salmonella infection, unspecified",
A03,A00-A09,1,DESC,Shigellosis,
A03.0,A00-A09,1,DESC,Shigellosis due to Shigella dysenteriae,
A03.1,A00-A09,1,DESC,Shigellosis due to Shigella flexneri,
A03.2,A00-A09,1,DESC,Shigellosis due to Shigella boydii,
A03.3,A00-A09,1,DESC,Shigellosis due to Shigella sonnei,
A03.8,A00-A09,1,DESC,Other shigellosis,
A03.9,A00-A09,1,DESC,"Shigellosis, unspecified",
